Movie Count,Tot_Profit,Avg_Profit,Max_Profit,Min_Profit,Tot_Rev,Avg_Rev,Max_Rev,Min_Rev,Tot_Bugd,Avg_Budg,Max_Budg,Min_Budg,Avg_ROI,Max_ROI,Min_ROI,Avg_RT_Ascore,Max_RT_Ascore,Min_RT_Ascore
10,528048940.0,58672104.44444445,95481222.0,-26608209.0,708448940.0,78716548.8888889,117481222.0,13391791.0,180400000.0,20044444.444444444,40000000.0,4900000.0,5.372547803028585,12.728333673469388,-0.665205225,6.860000000000001,7.8,5.4
10,48054103.0,5339344.777777778,55186262.0,-108846536.0,636054103.0,70672678.1111111,163214888.0,31153464.0,588000000.0,65333333.333333336,150000000.0,11000000.0,0.6774003808298948,2.0728053636363635,-0.7774752571428571,7.24,8.4,5.6
10,42022696.0,4202269.6,29970690.0,-45924710.0,383022696.0,38302269.6,62318875.0,13684249.0,341000000.0,34100000.0,65000000.0,10000000.0,0.5369569601800028,2.5819556,-0.706534,6.88,7.8,5.6
10,-88557457.0,-8855745.7,102280354.0,-176921900.0,1114442543.0,111444254.3,234280354.0,44229441.0,1203000000.0,120300000.0,250000000.0,36000000.0,0.09381822734880338,0.8241489818181819,-0.7076876,6.799999999999999,7.8,5.8
10,414151886.0,46016876.222222224,258859065.0,-70272851.0,1251151886.0,139016876.2222222,334191110.0,43061982.0,837000000.0,93000000.0,200000000.0,7000000.0,4.221120598597883,36.97986642857143,-0.46848567333333335,7.220000000000001,8.8,6.0
9,769897774.0,96237221.75,349987076.0,-146495895.0,2209897774.0,276237221.75,534987076.0,58504105.0,1440000000.0,180000000.0,250000000.0,100000000.0,0.5635030573852778,1.8918220324324324,-0.7146141219512195,8.266666666666666,8.8,7.4
9,203919270.0,25489908.75,68617009.0,-20064833.0,520919270.0,65114908.75,93617009.0,11330849.0,317000000.0,39625000.0,85000000.0,22000000.0,1.0064521944868856,2.74468036,-0.48496140909090907,6.844444444444444,8.2,6.2
9,34381734.0,4911676.285714285,77719001.0,-51242196.0,267881734.0,38268819.14285714,112719001.0,8008161.0,233500000.0,33357142.85714286,67000000.0,7000000.0,0.7588325114086769,2.6293492857142855,-0.7883414769230769,7.044444444444443,8.4,5.8
9,372696989.0,41410776.55555555,115103595.0,2587643.0,672696989.0,74744109.8888889,145103595.0,42587643.0,300000000.0,33333333.333333332,55000000.0,11000000.0,1.9130477913859327,8.323727636363637,0.064691075,6.888888888888889,7.4,5.6
9,1018705426.0,113189491.77777778,280477657.0,3034523.0,1468705426.0,163189491.7777778,335477657.0,43034523.0,450000000.0,50000000.0,103000000.0,12000000.0,2.8453524694639523,6.923992742857143,0.075863075,7.444444444444445,9.0,6.2
9,172382637.0,17238263.7,93954678.0,-28127006.0,586882637.0,58688263.7,159227644.0,1872994.0,414500000.0,41450000.0,95000000.0,12500000.0,0.9569844654509343,7.227282923076923,-0.9375668666666667,7.640000000000001,8.8,6.6
9,331359491.0,41419936.375,100357137.0,-12163718.0,750359491.0,93794936.375,150357137.0,38501125.0,419000000.0,52375000.0,95000000.0,20000000.0,1.1728072600534625,4.2481799,-0.20272863333333332,6.844444444444445,7.8,6.4
9,564572499.0,62730277.666666664,248952511.0,-84048960.0,1701572499.0,189063611.0,342952511.0,15951040.0,1137000000.0,126333333.33333333,250000000.0,30000000.0,0.783082894948259,2.8548745,-0.8404896,7.7333333333333325,8.2,6.2
9,227920672.0,25324519.111111112,73595205.0,-23467223.0,569670672.0,63296741.333333336,125595205.0,12532777.0,341750000.0,37972222.222222224,65000000.0,7500000.0,1.2890954798958054,7.332494933333333,-0.6518673055555556,7.377777777777776,8.4,6.4
9,244617745.0,27179749.444444444,136606725.0,-23144955.0,636117745.0,70679749.44444445,169106725.0,17105219.0,391500000.0,43500000.0,75000000.0,9000000.0,0.9961997382688916,4.203283846153846,-0.3457816153846154,7.622222222222222,8.6,6.2
